"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 27 08:33:10 GMT 2024","Sat Apr 27 08:33:14 GMT 2024","4048","firefox","dashboard.spec.ts","","","","Create login context",""
"passed","Sat Apr 27 08:31:07 GMT 2024","Sat Apr 27 08:31:09 GMT 2024","2052","chromium","login.spec.ts","Login form","","","should show error, if email field filled, but it is not an email",""
"passed","Sat Apr 27 08:33:23 GMT 2024","Sat Apr 27 08:33:24 GMT 2024","974","firefox","dashboard.spec.ts","Dashboard page","","","should have words cloud",""
"failed","Sat Apr 27 08:38:32 GMT 2024","Sat Apr 27 08:38:35 GMT 2024","2760","webkit","registration.spec.ts","Registration page","","","should show message if user already exist",""
"failed","Sat Apr 27 08:33:46 GMT 2024","Sat Apr 27 08:33:50 GMT 2024","3866","firefox","login.spec.ts","Login form","","","should show error alert, if creds wrong",""
"passed","Sat Apr 27 08:33:24 GMT 2024","Sat Apr 27 08:33:24 GMT 2024","200","firefox","dashboard.spec.ts","Dashboard page","","","should have shipping countries report",""
"passed","Sat Apr 27 08:33:50 GMT 2024","Sat Apr 27 08:33:54 GMT 2024","3672","firefox","login.spec.ts","Login form","","","should show errors, if fields empty",""
"broken","Sat Apr 27 08:35:06 GMT 2024","Sat Apr 27 08:35:36 GMT 2024","30889","firefox","registration.spec.ts","Registration page","","","should register with right data",""
"passed","Sat Apr 27 08:30:36 GMT 2024","Sat Apr 27 08:30:45 GMT 2024","9387","chromium","dashboard.spec.ts","","","","Create login context",""
"passed","Sat Apr 27 08:36:33 GMT 2024","Sat Apr 27 08:36:36 GMT 2024","2807","webkit","login.spec.ts","Login form","","","should show errors, if fields empty",""
"passed","Sat Apr 27 08:36:15 GMT 2024","Sat Apr 27 08:36:15 GMT 2024","164","webkit","dashboard.spec.ts","Dashboard page","","","should have new urls report",""
"broken","Sat Apr 27 08:32:16 GMT 2024","Sat Apr 27 08:32:46 GMT 2024","30189","chromium","registration.spec.ts","Registration page","","","should register with right data",""
"passed","Sat Apr 27 08:30:47 GMT 2024","Sat Apr 27 08:30:47 GMT 2024","43","chromium","dashboard.spec.ts","Dashboard page","","","should have shipping countries report",""
"passed","Sat Apr 27 08:30:47 GMT 2024","Sat Apr 27 08:30:47 GMT 2024","173","chromium","dashboard.spec.ts","Dashboard page","","","should have words cloud",""
"failed","Sat Apr 27 08:35:56 GMT 2024","Sat Apr 27 08:36:00 GMT 2024","3970","firefox","registration.spec.ts","Registration page","","","should show message if user already exist",""
"passed","Sat Apr 27 08:31:09 GMT 2024","Sat Apr 27 08:31:11 GMT 2024","2120","chromium","login.spec.ts","Login form","","","should do password visible on eye button click",""
"passed","Sat Apr 27 08:38:17 GMT 2024","Sat Apr 27 08:38:20 GMT 2024","3058","webkit","registration.spec.ts","Registration page","","","should have disabled submit button if form is empty",""
"passed","Sat Apr 27 08:35:38 GMT 2024","Sat Apr 27 08:35:42 GMT 2024","3990","firefox","registration.spec.ts","Registration page","","","should have disabled submit button if form is empty",""
