"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 30 01:24:30 GMT 2024","Sun Jun 30 01:24:30 GMT 2024","271","webkit","dashboard.spec.ts","Dashboard page","","","should have shipping countries report",""
"passed","Sun Jun 30 01:20:22 GMT 2024","Sun Jun 30 01:20:22 GMT 2024","111","chromium","dashboard.spec.ts","Dashboard page","","","should have new urls report",""
"failed","Sun Jun 30 01:21:46 GMT 2024","Sun Jun 30 01:21:49 GMT 2024","3472","firefox","dashboard.spec.ts","Dashboard page","","","should have segments analisis",""
"failed","Sun Jun 30 01:25:36 GMT 2024","Sun Jun 30 01:25:40 GMT 2024","3928","webkit","registration.spec.ts","Registration page","","","should show message if user already exist",""
"passed","Sun Jun 30 01:23:47 GMT 2024","Sun Jun 30 01:23:51 GMT 2024","3894","firefox","registration.spec.ts","Registration page","","","should have validation",""
"passed","Sun Jun 30 01:21:51 GMT 2024","Sun Jun 30 01:21:51 GMT 2024","283","firefox","dashboard.spec.ts","Dashboard page","","","should have new urls report",""
"passed","Sun Jun 30 01:22:21 GMT 2024","Sun Jun 30 01:22:25 GMT 2024","4215","firefox","login.spec.ts","Login form","","","should show errors, if fields empty",""
"passed","Sun Jun 30 01:21:50 GMT 2024","Sun Jun 30 01:21:51 GMT 2024","1129","firefox","dashboard.spec.ts","Dashboard page","","","should have words cloud",""
"passed","Sun Jun 30 01:25:01 GMT 2024","Sun Jun 30 01:25:05 GMT 2024","3865","webkit","login.spec.ts","Login form","","","should show error, if email field filled, but it is not an email",""
"passed","Sun Jun 30 01:25:41 GMT 2024","Sun Jun 30 01:25:46 GMT 2024","4908","webkit","registration.spec.ts","Registration page","","","should have terms and privacy links",""
"failed","Sun Jun 30 01:24:39 GMT 2024","Sun Jun 30 01:24:43 GMT 2024","4129","webkit","login.spec.ts","Login form","","","should login with right creds",""
"passed","Sun Jun 30 01:20:48 GMT 2024","Sun Jun 30 01:20:50 GMT 2024","2458","chromium","login.spec.ts","Login form","","","should do password visible on eye button click",""
"passed","Sun Jun 30 01:24:18 GMT 2024","Sun Jun 30 01:24:26 GMT 2024","8389","webkit","dashboard.spec.ts","","","","Create login context",""
"passed","Sun Jun 30 01:24:09 GMT 2024","Sun Jun 30 01:24:14 GMT 2024","4647","firefox","registration.spec.ts","Registration page","","","should have terms and privacy links",""
"passed","Sun Jun 30 01:20:13 GMT 2024","Sun Jun 30 01:20:20 GMT 2024","6802","chromium","dashboard.spec.ts","","","","Create login context",""
"failed","Sun Jun 30 01:20:21 GMT 2024","Sun Jun 30 01:20:22 GMT 2024","324","chromium","dashboard.spec.ts","Dashboard page","","","should have segments analisis",""
"passed","Sun Jun 30 01:25:46 GMT 2024","Sun Jun 30 01:25:50 GMT 2024","3837","webkit","registration.spec.ts","Registration page","","","should have google terms and privacy links",""
"passed","Sun Jun 30 01:24:14 GMT 2024","Sun Jun 30 01:24:17 GMT 2024","3301","firefox","registration.spec.ts","Registration page","","","should have google terms and privacy links",""
