"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 28 01:24:14 GMT 2024","Sun Jul 28 01:24:18 GMT 2024","3325","chromium","registration.spec.ts","Registration page","","","should have disabled submit button if form is empty",""
"failed","Sun Jul 28 01:26:39 GMT 2024","Sun Jul 28 01:26:39 GMT 2024","451","webkit","dashboard.spec.ts","Dashboard page","","","should have segments analisis",""
"passed","Sun Jul 28 01:24:38 GMT 2024","Sun Jul 28 01:24:40 GMT 2024","2525","chromium","registration.spec.ts","Registration page","","","should have google terms and privacy links",""
"failed","Sun Jul 28 01:27:03 GMT 2024","Sun Jul 28 01:27:07 GMT 2024","3955","webkit","login.spec.ts","Login form","","","should show error alert, if creds wrong",""
"passed","Sun Jul 28 01:25:34 GMT 2024","Sun Jul 28 01:25:38 GMT 2024","3301","firefox","login.spec.ts","Login form","","","should do password visible on eye button click",""
"failed","Sun Jul 28 01:26:49 GMT 2024","Sun Jul 28 01:26:53 GMT 2024","3979","webkit","login.spec.ts","Login form","","","should login with right creds",""
"failed","Sun Jul 28 01:25:22 GMT 2024","Sun Jul 28 01:25:26 GMT 2024","4538","firefox","login.spec.ts","Login form","","","should show error alert, if creds wrong",""
"passed","Sun Jul 28 01:26:31 GMT 2024","Sun Jul 28 01:26:37 GMT 2024","5780","webkit","dashboard.spec.ts","","","","Create login context",""
"passed","Sun Jul 28 01:27:53 GMT 2024","Sun Jul 28 01:28:21 GMT 2024","27592","webkit","registration.spec.ts","Registration page","","","should register with right data",""
"passed","Sun Jul 28 01:26:40 GMT 2024","Sun Jul 28 01:26:40 GMT 2024","276","webkit","dashboard.spec.ts","Dashboard page","","","should have shipping countries report",""
"passed","Sun Jul 28 01:26:27 GMT 2024","Sun Jul 28 01:26:30 GMT 2024","3337","firefox","registration.spec.ts","Registration page","","","should have google terms and privacy links",""
"passed","Sun Jul 28 01:22:07 GMT 2024","Sun Jul 28 01:22:07 GMT 2024","244","chromium","dashboard.spec.ts","Dashboard page","","","should have words cloud",""
"passed","Sun Jul 28 01:26:40 GMT 2024","Sun Jul 28 01:26:40 GMT 2024","269","webkit","dashboard.spec.ts","Dashboard page","","","should have new urls report",""
"passed","Sun Jul 28 01:22:32 GMT 2024","Sun Jul 28 01:22:35 GMT 2024","2527","chromium","login.spec.ts","Login form","","","should show error, if email field filled, but it is not an email",""
"passed","Sun Jul 28 01:22:35 GMT 2024","Sun Jul 28 01:22:38 GMT 2024","2605","chromium","login.spec.ts","Login form","","","should do password visible on eye button click",""
"passed","Sun Jul 28 01:26:22 GMT 2024","Sun Jul 28 01:26:27 GMT 2024","4757","firefox","registration.spec.ts","Registration page","","","should have terms and privacy links",""
"passed","Sun Jul 28 01:22:07 GMT 2024","Sun Jul 28 01:22:07 GMT 2024","127","chromium","dashboard.spec.ts","Dashboard page","","","should have new urls report",""
"passed","Sun Jul 28 01:22:29 GMT 2024","Sun Jul 28 01:22:32 GMT 2024","3085","chromium","login.spec.ts","Login form","","","should show errors, if fields empty",""
"passed","Sun Jul 28 01:24:18 GMT 2024","Sun Jul 28 01:24:21 GMT 2024","3517","chromium","registration.spec.ts","Registration page","","","should have validation",""
"passed","Sun Jul 28 01:27:07 GMT 2024","Sun Jul 28 01:27:12 GMT 2024","4342","webkit","login.spec.ts","Login form","","","should show errors, if fields empty",""
"passed","Sun Jul 28 01:28:47 GMT 2024","Sun Jul 28 01:28:52 GMT 2024","4881","webkit","registration.spec.ts","Registration page","","","should have terms and privacy links",""
"passed","Sun Jul 28 01:24:55 GMT 2024","Sun Jul 28 01:24:56 GMT 2024","1096","firefox","dashboard.spec.ts","Dashboard page","","","should have words cloud",""
"passed","Sun Jul 28 01:24:34 GMT 2024","Sun Jul 28 01:24:38 GMT 2024","3458","chromium","registration.spec.ts","Registration page","","","should have terms and privacy links",""
"failed","Sun Jul 28 01:22:17 GMT 2024","Sun Jul 28 01:22:20 GMT 2024","2689","chromium","login.spec.ts","Login form","","","should login with right creds",""
"passed","Sun Jul 28 01:26:00 GMT 2024","Sun Jul 28 01:26:04 GMT 2024","3921","firefox","registration.spec.ts","Registration page","","","should have validation",""
"broken","Sun Jul 28 01:23:43 GMT 2024","Sun Jul 28 01:24:13 GMT 2024","30490","chromium","registration.spec.ts","Registration page","","","should register with right data",""
"passed","Sun Jul 28 01:27:12 GMT 2024","Sun Jul 28 01:27:16 GMT 2024","3940","webkit","login.spec.ts","Login form","","","should show error, if email field filled, but it is not an email",""
"failed","Sun Jul 28 01:24:51 GMT 2024","Sun Jul 28 01:24:54 GMT 2024","3462","firefox","dashboard.spec.ts","Dashboard page","","","should have segments analisis",""
"passed","Sun Jul 28 01:21:53 GMT 2024","Sun Jul 28 01:22:05 GMT 2024","12110","chromium","dashboard.spec.ts","","","","Create login context",""
"passed","Sun Jul 28 01:28:21 GMT 2024","Sun Jul 28 01:28:25 GMT 2024","4621","webkit","registration.spec.ts","Registration page","","","should have disabled submit button if form is empty",""
"passed","Sun Jul 28 01:25:57 GMT 2024","Sun Jul 28 01:26:00 GMT 2024","3648","firefox","registration.spec.ts","Registration page","","","should have disabled submit button if form is empty",""
"failed","Sun Jul 28 01:24:30 GMT 2024","Sun Jul 28 01:24:33 GMT 2024","2815","chromium","registration.spec.ts","Registration page","","","should show message if user already exist",""
"passed","Sun Jul 28 01:26:39 GMT 2024","Sun Jul 28 01:26:40 GMT 2024","389","webkit","dashboard.spec.ts","Dashboard page","","","should have words cloud",""
"passed","Sun Jul 28 01:28:25 GMT 2024","Sun Jul 28 01:28:30 GMT 2024","4752","webkit","registration.spec.ts","Registration page","","","should have validation",""
"failed","Sun Jul 28 01:25:06 GMT 2024","Sun Jul 28 01:25:11 GMT 2024","4602","firefox","login.spec.ts","Login form","","","should login with right creds",""
"passed","Sun Jul 28 01:27:16 GMT 2024","Sun Jul 28 01:27:20 GMT 2024","3946","webkit","login.spec.ts","Login form","","","should do password visible on eye button click",""
"passed","Sun Jul 28 01:25:27 GMT 2024","Sun Jul 28 01:25:31 GMT 2024","4208","firefox","login.spec.ts","Login form","","","should show errors, if fields empty",""
"failed","Sun Jul 28 01:28:42 GMT 2024","Sun Jul 28 01:28:46 GMT 2024","4052","webkit","registration.spec.ts","Registration page","","","should show message if user already exist",""
"passed","Sun Jul 28 01:25:39 GMT 2024","Sun Jul 28 01:25:57 GMT 2024","17990","firefox","registration.spec.ts","Registration page","","","should register with right data",""
"passed","Sun Jul 28 01:25:31 GMT 2024","Sun Jul 28 01:25:34 GMT 2024","3262","firefox","login.spec.ts","Login form","","","should show error, if email field filled, but it is not an email",""
"passed","Sun Jul 28 01:24:56 GMT 2024","Sun Jul 28 01:24:57 GMT 2024","250","firefox","dashboard.spec.ts","Dashboard page","","","should have shipping countries report",""
"passed","Sun Jul 28 01:28:52 GMT 2024","Sun Jul 28 01:28:56 GMT 2024","3731","webkit","registration.spec.ts","Registration page","","","should have google terms and privacy links",""
"passed","Sun Jul 28 01:24:41 GMT 2024","Sun Jul 28 01:24:46 GMT 2024","5048","firefox","dashboard.spec.ts","","","","Create login context",""
"failed","Sun Jul 28 01:26:16 GMT 2024","Sun Jul 28 01:26:21 GMT 2024","4706","firefox","registration.spec.ts","Registration page","","","should show message if user already exist",""
"failed","Sun Jul 28 01:22:26 GMT 2024","Sun Jul 28 01:22:29 GMT 2024","2679","chromium","login.spec.ts","Login form","","","should show error alert, if creds wrong",""
"passed","Sun Jul 28 01:24:56 GMT 2024","Sun Jul 28 01:24:56 GMT 2024","281","firefox","dashboard.spec.ts","Dashboard page","","","should have new urls report",""
"failed","Sun Jul 28 01:22:06 GMT 2024","Sun Jul 28 01:22:06 GMT 2024","316","chromium","dashboard.spec.ts","Dashboard page","","","should have segments analisis",""
"passed","Sun Jul 28 01:22:07 GMT 2024","Sun Jul 28 01:22:07 GMT 2024","145","chromium","dashboard.spec.ts","Dashboard page","","","should have shipping countries report",""
