"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 07 01:24:38 GMT 2024","Sun Jul 07 01:24:46 GMT 2024","8060","webkit","dashboard.spec.ts","","","","Create login context",""
"failed","Sun Jul 07 01:26:55 GMT 2024","Sun Jul 07 01:26:58 GMT 2024","3507","webkit","registration.spec.ts","Registration page","","","should show message if user already exist",""
"passed","Sun Jul 07 01:23:12 GMT 2024","Sun Jul 07 01:23:15 GMT 2024","2855","firefox","login.spec.ts","Login form","","","should show error, if email field filled, but it is not an email",""
"failed","Sun Jul 07 01:24:48 GMT 2024","Sun Jul 07 01:24:49 GMT 2024","446","webkit","dashboard.spec.ts","Dashboard page","","","should have segments analisis",""
"failed","Sun Jul 07 01:25:11 GMT 2024","Sun Jul 07 01:25:14 GMT 2024","3410","webkit","login.spec.ts","Login form","","","should show error alert, if creds wrong",""
"failed","Sun Jul 07 01:22:18 GMT 2024","Sun Jul 07 01:22:20 GMT 2024","2524","chromium","registration.spec.ts","Registration page","","","should show message if user already exist",""
"passed","Sun Jul 07 01:22:42 GMT 2024","Sun Jul 07 01:22:42 GMT 2024","255","firefox","dashboard.spec.ts","Dashboard page","","","should have new urls report",""
"failed","Sun Jul 07 01:20:52 GMT 2024","Sun Jul 07 01:20:52 GMT 2024","303","chromium","dashboard.spec.ts","Dashboard page","","","should have segments analisis",""
"passed","Sun Jul 07 01:21:51 GMT 2024","Sun Jul 07 01:22:04 GMT 2024","13090","chromium","registration.spec.ts","Registration page","","","should register with right data",""
"passed","Sun Jul 07 01:22:04 GMT 2024","Sun Jul 07 01:22:07 GMT 2024","2708","chromium","registration.spec.ts","Registration page","","","should have disabled submit button if form is empty",""
"failed","Sun Jul 07 01:21:00 GMT 2024","Sun Jul 07 01:21:02 GMT 2024","2196","chromium","login.spec.ts","Login form","","","should login with right creds",""
"passed","Sun Jul 07 01:22:28 GMT 2024","Sun Jul 07 01:22:32 GMT 2024","4109","firefox","dashboard.spec.ts","","","","Create login context",""
"passed","Sun Jul 07 01:21:14 GMT 2024","Sun Jul 07 01:21:16 GMT 2024","2013","chromium","login.spec.ts","Login form","","","should show error, if email field filled, but it is not an email",""
"passed","Sun Jul 07 01:27:00 GMT 2024","Sun Jul 07 01:27:04 GMT 2024","4333","webkit","registration.spec.ts","Registration page","","","should have terms and privacy links",""
"passed","Sun Jul 07 01:20:53 GMT 2024","Sun Jul 07 01:20:53 GMT 2024","245","chromium","dashboard.spec.ts","Dashboard page","","","should have words cloud",""
"passed","Sun Jul 07 01:22:25 GMT 2024","Sun Jul 07 01:22:27 GMT 2024","2225","chromium","registration.spec.ts","Registration page","","","should have google terms and privacy links",""
"passed","Sun Jul 07 01:21:11 GMT 2024","Sun Jul 07 01:21:14 GMT 2024","2813","chromium","login.spec.ts","Login form","","","should show errors, if fields empty",""
"passed","Sun Jul 07 01:26:31 GMT 2024","Sun Jul 07 01:26:36 GMT 2024","5433","webkit","registration.spec.ts","Registration page","","","should register with right data",""
"failed","Sun Jul 07 01:23:04 GMT 2024","Sun Jul 07 01:23:08 GMT 2024","3984","firefox","login.spec.ts","Login form","","","should show error alert, if creds wrong",""
"passed","Sun Jul 07 01:25:21 GMT 2024","Sun Jul 07 01:25:25 GMT 2024","3401","webkit","login.spec.ts","Login form","","","should do password visible on eye button click",""
"passed","Sun Jul 07 01:26:40 GMT 2024","Sun Jul 07 01:26:44 GMT 2024","4036","webkit","registration.spec.ts","Registration page","","","should have validation",""
"passed","Sun Jul 07 01:20:44 GMT 2024","Sun Jul 07 01:20:51 GMT 2024","6973","chromium","dashboard.spec.ts","","","","Create login context",""
"passed","Sun Jul 07 01:25:18 GMT 2024","Sun Jul 07 01:25:21 GMT 2024","3371","webkit","login.spec.ts","Login form","","","should show error, if email field filled, but it is not an email",""
"passed","Sun Jul 07 01:24:49 GMT 2024","Sun Jul 07 01:24:49 GMT 2024","377","webkit","dashboard.spec.ts","Dashboard page","","","should have words cloud",""
"passed","Sun Jul 07 01:23:08 GMT 2024","Sun Jul 07 01:23:12 GMT 2024","3608","firefox","login.spec.ts","Login form","","","should show errors, if fields empty",""
