"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 19 01:18:19 GMT 2024","Sun May 19 01:18:22 GMT 2024","2657","firefox","login.spec.ts","Login form","","","should do password visible on eye button click",""
"passed","Sun May 19 01:15:30 GMT 2024","Sun May 19 01:15:32 GMT 2024","2374","chromium","login.spec.ts","Login form","","","should do password visible on eye button click",""
"passed","Sun May 19 01:21:04 GMT 2024","Sun May 19 01:21:08 GMT 2024","3296","webkit","login.spec.ts","Login form","","","should show error, if email field filled, but it is not an email",""
"passed","Sun May 19 01:17:33 GMT 2024","Sun May 19 01:17:37 GMT 2024","3896","firefox","dashboard.spec.ts","","","","Create login context",""
"passed","Sun May 19 01:20:38 GMT 2024","Sun May 19 01:20:38 GMT 2024","285","webkit","dashboard.spec.ts","Dashboard page","","","should have shipping countries report",""
"failed","Sun May 19 01:20:37 GMT 2024","Sun May 19 01:20:37 GMT 2024","451","webkit","dashboard.spec.ts","Dashboard page","","","should have segments analisis",""
"passed","Sun May 19 01:17:28 GMT 2024","Sun May 19 01:17:31 GMT 2024","3033","chromium","registration.spec.ts","Registration page","","","should have terms and privacy links",""
"passed","Sun May 19 01:17:31 GMT 2024","Sun May 19 01:17:32 GMT 2024","1928","chromium","registration.spec.ts","Registration page","","","should have google terms and privacy links",""
"passed","Sun May 19 01:20:28 GMT 2024","Sun May 19 01:20:30 GMT 2024","2571","firefox","registration.spec.ts","Registration page","","","should have google terms and privacy links",""
"broken","Sun May 19 01:22:17 GMT 2024","Sun May 19 01:22:48 GMT 2024","30923","webkit","registration.spec.ts","Registration page","","","should register with right data",""
"failed","Sun May 19 01:23:07 GMT 2024","Sun May 19 01:23:11 GMT 2024","3511","webkit","registration.spec.ts","Registration page","","","should show message if user already exist",""
"failed","Sun May 19 01:15:15 GMT 2024","Sun May 19 01:15:17 GMT 2024","2078","chromium","login.spec.ts","Login form","","","should login with right creds",""
"passed","Sun May 19 01:21:08 GMT 2024","Sun May 19 01:21:11 GMT 2024","3335","webkit","login.spec.ts","Login form","","","should do password visible on eye button click",""
"passed","Sun May 19 01:17:46 GMT 2024","Sun May 19 01:17:47 GMT 2024","1078","firefox","dashboard.spec.ts","Dashboard page","","","should have words cloud",""
"passed","Sun May 19 01:17:47 GMT 2024","Sun May 19 01:17:47 GMT 2024","259","firefox","dashboard.spec.ts","Dashboard page","","","should have shipping countries report",""
"failed","Sun May 19 01:17:56 GMT 2024","Sun May 19 01:17:59 GMT 2024","3801","firefox","login.spec.ts","Login form","","","should login with right creds",""
"passed","Sun May 19 01:15:00 GMT 2024","Sun May 19 01:15:05 GMT 2024","5665","chromium","dashboard.spec.ts","","","","Create login context",""
"passed","Sun May 19 01:18:16 GMT 2024","Sun May 19 01:18:19 GMT 2024","2479","firefox","login.spec.ts","Login form","","","should show error, if email field filled, but it is not an email",""
"passed","Sun May 19 01:20:37 GMT 2024","Sun May 19 01:20:38 GMT 2024","392","webkit","dashboard.spec.ts","Dashboard page","","","should have words cloud",""
"passed","Sun May 19 01:15:08 GMT 2024","Sun May 19 01:15:08 GMT 2024","126","chromium","dashboard.spec.ts","Dashboard page","","","should have new urls report",""
"passed","Sun May 19 01:15:28 GMT 2024","Sun May 19 01:15:30 GMT 2024","2062","chromium","login.spec.ts","Login form","","","should show error, if email field filled, but it is not an email",""
"passed","Sun May 19 01:22:50 GMT 2024","Sun May 19 01:22:53 GMT 2024","3484","webkit","registration.spec.ts","Registration page","","","should have disabled submit button if form is empty",""
"broken","Sun May 19 01:16:37 GMT 2024","Sun May 19 01:17:08 GMT 2024","30455","chromium","registration.spec.ts","Registration page","","","should register with right data",""
"passed","Sun May 19 01:17:47 GMT 2024","Sun May 19 01:17:47 GMT 2024","250","firefox","dashboard.spec.ts","Dashboard page","","","should have new urls report",""
"failed","Sun May 19 01:17:23 GMT 2024","Sun May 19 01:17:26 GMT 2024","2744","chromium","registration.spec.ts","Registration page","","","should show message if user already exist",""
"broken","Sun May 19 01:19:28 GMT 2024","Sun May 19 01:19:59 GMT 2024","30999","firefox","registration.spec.ts","Registration page","","","should register with right data",""
"passed","Sun May 19 01:20:24 GMT 2024","Sun May 19 01:20:28 GMT 2024","3969","firefox","registration.spec.ts","Registration page","","","should have terms and privacy links",""
"failed","Sun May 19 01:15:07 GMT 2024","Sun May 19 01:15:07 GMT 2024","325","chromium","dashboard.spec.ts","Dashboard page","","","should have segments analisis",""
"passed","Sun May 19 01:17:09 GMT 2024","Sun May 19 01:17:12 GMT 2024","2893","chromium","registration.spec.ts","Registration page","","","should have disabled submit button if form is empty",""
"failed","Sun May 19 01:20:57 GMT 2024","Sun May 19 01:21:01 GMT 2024","3207","webkit","login.spec.ts","Login form","","","should show error alert, if creds wrong",""
"passed","Sun May 19 01:18:13 GMT 2024","Sun May 19 01:18:16 GMT 2024","3585","firefox","login.spec.ts","Login form","","","should show errors, if fields empty",""
"passed","Sun May 19 01:22:53 GMT 2024","Sun May 19 01:22:57 GMT 2024","3765","webkit","registration.spec.ts","Registration page","","","should have validation",""
"passed","Sun May 19 01:23:16 GMT 2024","Sun May 19 01:23:19 GMT 2024","3031","webkit","registration.spec.ts","Registration page","","","should have google terms and privacy links",""
"passed","Sun May 19 01:15:25 GMT 2024","Sun May 19 01:15:28 GMT 2024","2630","chromium","login.spec.ts","Login form","","","should show errors, if fields empty",""
"failed","Sun May 19 01:20:18 GMT 2024","Sun May 19 01:20:22 GMT 2024","3941","firefox","registration.spec.ts","Registration page","","","should show message if user already exist",""
"failed","Sun May 19 01:15:23 GMT 2024","Sun May 19 01:15:25 GMT 2024","2227","chromium","login.spec.ts","Login form","","","should show error alert, if creds wrong",""
"passed","Sun May 19 01:17:12 GMT 2024","Sun May 19 01:17:15 GMT 2024","2863","chromium","registration.spec.ts","Registration page","","","should have validation",""
"failed","Sun May 19 01:17:42 GMT 2024","Sun May 19 01:17:45 GMT 2024","3467","firefox","dashboard.spec.ts","Dashboard page","","","should have segments analisis",""
"failed","Sun May 19 01:20:46 GMT 2024","Sun May 19 01:20:49 GMT 2024","3237","webkit","login.spec.ts","Login form","","","should login with right creds",""
"passed","Sun May 19 01:21:01 GMT 2024","Sun May 19 01:21:04 GMT 2024","3497","webkit","login.spec.ts","Login form","","","should show errors, if fields empty",""
"failed","Sun May 19 01:18:09 GMT 2024","Sun May 19 01:18:12 GMT 2024","3683","firefox","login.spec.ts","Login form","","","should show error alert, if creds wrong",""
"passed","Sun May 19 01:20:05 GMT 2024","Sun May 19 01:20:08 GMT 2024","3120","firefox","registration.spec.ts","Registration page","","","should have validation",""
"passed","Sun May 19 01:20:38 GMT 2024","Sun May 19 01:20:38 GMT 2024","301","webkit","dashboard.spec.ts","Dashboard page","","","should have new urls report",""
"passed","Sun May 19 01:15:08 GMT 2024","Sun May 19 01:15:08 GMT 2024","242","chromium","dashboard.spec.ts","Dashboard page","","","should have words cloud",""
"passed","Sun May 19 01:20:01 GMT 2024","Sun May 19 01:20:05 GMT 2024","4007","firefox","registration.spec.ts","Registration page","","","should have disabled submit button if form is empty",""
"passed","Sun May 19 01:15:08 GMT 2024","Sun May 19 01:15:08 GMT 2024","118","chromium","dashboard.spec.ts","Dashboard page","","","should have shipping countries report",""
"passed","Sun May 19 01:23:12 GMT 2024","Sun May 19 01:23:16 GMT 2024","4035","webkit","registration.spec.ts","Registration page","","","should have terms and privacy links",""
"passed","Sun May 19 01:20:31 GMT 2024","Sun May 19 01:20:35 GMT 2024","3652","webkit","dashboard.spec.ts","","","","Create login context",""
